th,lh1,lh2,lh3,lh4,lh5,ta,la1,la2,la3,la4,la5,diff
 2.00,-3.76, 0.76, 0.31, 1.08,-1.09, 7.00, 0.94,-1.92,-0.65, 0.46, 0.97,-1.00
18.00, 1.74, 2.23, 4.60, 5.94, 4.78,13.00,-0.20, 0.96, 1.04,-2.65, 1.12, 4.00
10.00, 0.94,-1.80, 0.51, 0.93,-4.78,15.00, 3.76,-0.55, 1.48,-5.94, 1.68,-1.00
 5.00, 0.20, 0.38, 0.31,-6.06,-1.72, 6.00,-3.28,-1.21, 0.99,-0.77, 1.01,-1.00
11.00,-1.01, 1.21, 0.96,-0.46, 0.59,14.00,-3.71, 1.92, 1.00, 2.65,-1.68,-1.00
12.00, 1.06, 1.67, 4.66, 7.69,-5.06, 4.00, 1.01, 1.25,-0.30, 6.06,-0.15, 1.00
 8.00,-0.47, 1.80,-4.60,-7.69, 1.09, 3.00,-1.74,-0.38,-4.66,-0.93,-0.59,-2.00
17.00, 0.47,-2.23, 1.40, 0.90, 5.06, 1.00,-0.94, 0.14,-0.31,-5.20, 1.72, 4.00
 9.00, 3.28, 0.55, 0.30, 5.20,-1.12,16.00, 3.71,-0.96, 0.65, 0.77, 0.15, 2.00
 7.00, 0.40,-3.28,-1.21, 0.99,-0.77,18.00,10.45, 1.74, 2.23, 4.60, 5.94, 0.00
 1.00,-4.83,-0.94, 0.14,-0.31,-5.20, 6.00,-0.26,-0.47, 1.80,-4.60,-7.69, 0.00
10.00,-10.45,-0.20, 0.96, 1.04,-2.65, 2.00,-3.33,-3.76, 0.76, 0.31, 1.08, 0.00
14.00, 0.16,-3.71, 1.92, 1.00, 2.65,12.00, 1.34, 3.28, 0.55, 0.30, 5.20,-3.00
16.00,-1.34, 3.71,-0.96, 0.65, 0.77,11.00,-0.16,-1.01, 1.21, 0.96,-0.46, 0.00
 5.00, 0.26,-1.74,-0.38,-4.66,-0.93,17.00, 4.83, 0.47,-2.23, 1.40, 0.90,-2.00
15.00, 2.61, 3.76,-0.55, 1.48,-5.94,13.00, 2.07, 1.06, 1.67, 4.66, 7.69, 1.00
 9.00, 3.33, 0.94,-1.92,-0.65, 0.46, 4.00,-0.40, 0.20, 0.38, 0.31,-6.06,-1.00
 3.00,-2.07, 1.01, 1.25,-0.30, 6.06, 8.00,-2.61, 0.94,-1.80, 0.51, 0.93, 2.00
 5.00, 0.21,-0.40, 0.20, 0.38, 0.31,13.00,-1.75, 0.16,-3.71, 1.92, 1.00,-2.00
18.00, 0.93,10.45, 1.74, 2.23, 4.60, 4.00, 0.26,-2.07, 1.01, 1.25,-0.30, 4.00
 6.00,-0.26,-2.61, 0.94,-1.80, 0.51, 9.00,-0.21, 3.33, 0.94,-1.92,-0.65, 0.00
 2.00, 1.00,-3.33,-3.76, 0.76, 0.31, 8.00, 1.05, 0.40,-3.28,-1.21, 0.99, 0.00
12.00,-0.56, 2.07, 1.06, 1.67, 4.66,10.00, 0.99,-10.45,-0.20, 0.96, 1.04,-1.00
 7.00, 0.33,-0.26,-0.47, 1.80,-4.60,16.00, 0.56, 2.61, 3.76,-0.55, 1.48, 2.00
14.00, 1.75, 1.34, 3.28, 0.55, 0.30,11.00, 0.73,-0.16,-1.01, 1.21, 0.96, 0.00
 1.00, 1.73,-4.83,-0.94, 0.14,-0.31, 3.00,-3.30, 0.26,-1.74,-0.38,-4.66,-1.00
17.00, 3.30, 4.83, 0.47,-2.23, 1.40,15.00, 1.24,-1.34, 3.71,-0.96, 0.65, 1.00
 8.00, 0.78,-0.21, 3.33, 0.94,-1.92,17.00, 2.70, 3.30, 4.83, 0.47,-2.23, 2.00
 7.00, 1.36, 1.05, 0.40,-3.28,-1.21,11.00,-3.06,-0.56, 2.07, 1.06, 1.67,-2.00
12.00, 3.06, 0.99,-10.45,-0.20, 0.96,10.00, 2.73, 0.33,-0.26,-0.47, 1.80, 0.00
13.00, 0.99, 1.75, 1.34, 3.28, 0.55, 4.00,-1.61, 0.21,-0.40, 0.20, 0.38, 1.00
14.00,-2.70, 1.24,-1.34, 3.71,-0.96,18.00, 9.46, 0.93,10.45, 1.74, 2.23,-2.00
 3.00,-9.46, 0.26,-2.07, 1.01, 1.25, 1.00,-0.33, 1.73,-4.83,-0.94, 0.14,-4.00
16.00,-2.73, 0.56, 2.61, 3.76,-0.55, 5.00, 0.33,-3.30, 0.26,-1.74,-0.38, 6.00
15.00, 1.61,-1.75, 0.16,-3.71, 1.92, 2.00, 0.58, 1.00,-3.33,-3.76, 0.76, 1.00
 9.00, 1.00, 0.73,-0.16,-1.01, 1.21, 6.00, 1.24,-0.26,-2.61, 0.94,-1.80, 2.00
 6.00,-2.91, 1.24,-0.26,-2.61, 0.94,10.00, 1.32, 3.06, 0.99,-10.45,-0.20, 0.00
18.00, 6.72, 9.46, 0.93,10.45, 1.74,15.00, 0.32, 1.61,-1.75, 0.16,-3.71, 2.00
 4.00,-3.64,-1.61, 0.21,-0.40, 0.20,11.00, 2.91, 1.00, 0.73,-0.16,-1.01, 4.00
 1.00,-0.32, 0.58, 1.00,-3.33,-3.76,14.00, 3.64, 0.99, 1.75, 1.34, 3.28, 0.00
 8.00, 0.66, 2.73, 0.33,-0.26,-0.47, 7.00,-5.52, 1.36, 1.05, 0.40,-3.28, 1.00
 5.00,-5.79, 0.33,-3.30, 0.26,-1.74, 9.00, 0.31, 0.78,-0.21, 3.33, 0.94,-2.00
 2.00, 1.63,-0.33, 1.73,-4.83,-0.94,16.00, 5.79,-2.73, 0.56, 2.61, 3.76, 0.00
17.00,-0.31, 2.70, 3.30, 4.83, 0.47, 3.00,-1.63,-9.46, 0.26,-2.07, 1.01, 3.00
13.00, 5.52,-3.06,-0.56, 2.07, 1.06,12.00,-6.72,-2.70, 1.24,-1.34, 3.71, 0.00
11.00, 0.58,-6.72,-2.70, 1.24,-1.34, 5.00, 1.90,-3.64,-1.61, 0.21,-0.40, 2.00
 9.00, 1.13, 1.32, 3.06, 0.99,-10.45, 3.00, 0.97, 1.63,-0.33, 1.73,-4.83,-1.00
12.00, 1.54, 0.31, 0.78,-0.21, 3.33,10.00, 0.66, 0.66, 2.73, 0.33,-0.26,-2.00
14.00,-8.73, 0.32, 1.61,-1.75, 0.16,13.00, 1.41, 5.52,-3.06,-0.56, 2.07, 1.00
 8.00,-1.90, 2.91, 1.00, 0.73,-0.16, 1.00, 1.19,-0.32, 0.58, 1.00,-3.33, 0.00
15.00, 0.83, 3.64, 0.99, 1.75, 1.34,18.00, 8.73, 6.72, 9.46, 0.93,10.45, 2.00
16.00, 0.99, 5.79,-2.73, 0.56, 2.61,17.00, 2.79,-0.31, 2.70, 3.30, 4.83,-1.00
 6.00,-0.66,-5.52, 1.36, 1.05, 0.40, 7.00, 0.86,-2.91, 1.24,-0.26,-2.61,-1.00
 2.00,-2.79,-1.63,-9.46, 0.26,-2.07, 4.00,-1.54,-5.79, 0.33,-3.30, 0.26, 0.00
12.00, 0.63, 0.66, 0.66, 2.73, 0.33, 2.00, 1.17,-2.79,-1.63,-9.46, 0.26, 0.00
18.00,-0.43, 8.73, 6.72, 9.46, 0.93, 8.00, 1.00,-1.90, 2.91, 1.00, 0.73, 2.00
 7.00, 0.50, 0.86,-2.91, 1.24,-0.26,15.00, 2.48,-8.73, 0.32, 1.61,-1.75,-4.00
 1.00, 0.99, 1.19,-0.32, 0.58, 1.00, 5.00,-6.58, 1.90,-3.64,-1.61, 0.21, 1.00
11.00,-2.48, 1.41, 5.52,-3.06,-0.56,16.00, 0.43, 0.83, 3.64, 0.99, 1.75, 5.00
 4.00, 0.83,-1.54,-5.79, 0.33,-3.30, 9.00,-0.85, 1.13, 1.32, 3.06, 0.99, 0.00
14.00,-0.22, 0.99, 5.79,-2.73, 0.56,10.00,-0.63, 1.54, 0.31, 0.78,-0.21, 0.00
 3.00, 0.85, 0.97, 1.63,-0.33, 1.73,13.00, 6.58, 0.58,-6.72,-2.70, 1.24, 1.00
17.00, 0.22, 2.79,-0.31, 2.70, 3.30, 6.00,-0.50,-0.66,-5.52, 1.36, 1.05, 3.00
11.00,-2.48, 6.58, 0.58,-6.72,-2.70, 2.00, 0.32, 0.99, 1.19,-0.32, 0.58, 1.00
 4.00,-9.57,-0.50,-0.66,-5.52, 1.36, 5.00, 1.13, 0.83,-1.54,-5.79, 0.33, 1.00
 9.00, 0.88,-0.85, 1.13, 1.32, 3.06,17.00, 9.57, 0.22, 2.79,-0.31, 2.70, 1.00
10.00, 0.39,-0.63, 1.54, 0.31, 0.78, 6.00, 2.48, 0.85, 0.97, 1.63,-0.33,-1.00
 3.00,-0.32,-6.58, 1.90,-3.64,-1.61,18.00, 2.02,-0.43, 8.73, 6.72, 9.46,-1.00
 8.00,-2.02, 1.00,-1.90, 2.91, 1.00,13.00, 3.68,-2.48, 1.41, 5.52,-3.06,-1.00
 1.00, 1.10, 1.17,-2.79,-1.63,-9.46,15.00, 1.56,-0.22, 0.99, 5.79,-2.73, 2.00
16.00, 2.21, 2.48,-8.73, 0.32, 1.61,12.00, 0.90, 0.63, 0.66, 0.66, 2.73, 2.00
14.00,-3.68, 0.43, 0.83, 3.64, 0.99, 7.00,-2.21, 0.50, 0.86,-2.91, 1.24, 1.00
 9.00,-2.60, 0.39,-0.63, 1.54, 0.31,18.00, 5.10, 2.02,-0.43, 8.73, 6.72,-1.00
10.00, 0.81, 0.88,-0.85, 1.13, 1.32, 4.00, 0.61, 1.10, 1.17,-2.79,-1.63,-2.00
 2.00,-5.10,-0.32,-6.58, 1.90,-3.64, 6.00,-0.34,-2.21, 0.50, 0.86,-2.91,-1.00
16.00, 2.64, 2.21, 2.48,-8.73, 0.32, 7.00, 2.60, 2.48, 0.85, 0.97, 1.63, 0.00
 1.00,-0.46, 0.32, 0.99, 1.19,-0.32,14.00, 0.38, 3.68,-2.48, 1.41, 5.52, 0.00
 8.00,-0.38,-2.02, 1.00,-1.90, 2.91,11.00,-2.64, 0.90, 0.63, 0.66, 0.66, 1.00
15.00, 0.34,-3.68, 0.43, 0.83, 3.64,17.00,-0.81, 9.57, 0.22, 2.79,-0.31,-2.00
 5.00, 2.52,-9.57,-0.50,-0.66,-5.52,12.00,-0.61, 1.56,-0.22, 0.99, 5.79, 1.00
13.00, 0.46,-2.48, 6.58, 0.58,-6.72, 3.00,-2.52, 1.13, 0.83,-1.54,-5.79,-2.00
11.00,-1.03,-2.64, 0.90, 0.63, 0.66,15.00,-0.25, 0.34,-3.68, 0.43, 0.83, 1.00
 6.00, 1.04, 2.60, 2.48, 0.85, 0.97, 5.00, 0.29, 2.52,-9.57,-0.50,-0.66, 0.00
 7.00, 0.64,-0.34,-2.21, 0.50, 0.86,13.00,-0.52, 0.46,-2.48, 6.58, 0.58,-2.00
17.00, 0.25,-0.81, 9.57, 0.22, 2.79, 9.00, 1.03,-0.38,-2.02, 1.00,-1.90, 2.00
14.00, 1.39, 0.38, 3.68,-2.48, 1.41, 1.00,-0.64,-5.10,-0.32,-6.58, 1.90, 3.00
 4.00, 0.53, 0.61, 1.10, 1.17,-2.79, 8.00,-5.00,-2.60, 0.39,-0.63, 1.54, 1.00
 3.00, 0.52,-2.52, 1.13, 0.83,-1.54,16.00, 0.96, 2.64, 2.21, 2.48,-8.73, 0.00
18.00, 5.00, 5.10, 2.02,-0.43, 8.73, 2.00, 0.45,-0.46, 0.32, 0.99, 1.19, 2.00
12.00,-0.29,-0.61, 1.56,-0.22, 0.99,10.00,-0.53, 0.81, 0.88,-0.85, 1.13, 0.00
13.00,-0.94,-0.25, 0.34,-3.68, 0.43, 3.00, 1.30, 0.52,-2.52, 1.13, 0.83, 4.00
 6.00, 1.21, 0.29, 2.52,-9.57,-0.50, 4.00, 5.98, 0.53, 0.61, 1.10, 1.17,-2.00
 1.00,-2.39,-0.64,-5.10,-0.32,-6.58,11.00, 0.94,-1.03,-2.64, 0.90, 0.63,-1.00
16.00, 0.74, 0.96, 2.64, 2.21, 2.48,17.00, 2.76, 0.25,-0.81, 9.57, 0.22, 0.00
 9.00,-2.76, 1.03,-0.38,-2.02, 1.00, 7.00, 0.79, 1.04, 2.60, 2.48, 0.85, 1.00
15.00, 2.39, 1.39, 0.38, 3.68,-2.48,18.00, 8.19, 5.00, 5.10, 2.02,-0.43, 0.00
14.00, 4.00,-0.52, 0.46,-2.48, 6.58,12.00, 1.13,-0.29,-0.61, 1.56,-0.22, 3.00
 8.00,-5.98,-5.00,-2.60, 0.39,-0.63,10.00, 0.87,-0.53, 0.81, 0.88,-0.85, 0.00
 2.00,-8.19, 0.45,-0.46, 0.32, 0.99, 5.00,-4.00, 0.64,-0.34,-2.21, 0.50,-2.00
12.00, 1.35, 0.94,-1.03,-2.64, 0.90,15.00, 0.49, 4.00,-0.52, 0.46,-2.48, 1.00
 8.00, 0.48,-4.00, 0.64,-0.34,-2.21,14.00, 0.93, 2.39, 1.39, 0.38, 3.68,-1.00
17.00, 0.92, 2.76, 0.25,-0.81, 9.57, 1.00,-1.35,-2.39,-0.64,-5.10,-0.32, 1.00
10.00, 1.54, 0.87,-0.53, 0.81, 0.88, 4.00,-1.53, 1.21, 0.29, 2.52,-9.57, 2.00
 7.00, 1.53, 5.98, 0.53, 0.61, 1.10,16.00, 1.09, 0.74, 0.96, 2.64, 2.21, 2.00
 3.00,-0.45, 1.30, 0.52,-2.52, 1.13, 2.00,-0.48,-8.19, 0.45,-0.46, 0.32, 0.00
11.00,-0.49, 1.13,-0.29,-0.61, 1.56, 9.00, 5.88,-2.76, 1.03,-0.38,-2.02, 2.00
 5.00,-5.88, 0.79, 1.04, 2.60, 2.48,18.00, 1.07, 8.19, 5.00, 5.10, 2.02,-2.00
 6.00, 0.43,-5.98,-5.00,-2.60, 0.39,13.00, 0.45,-0.94,-0.25, 0.34,-3.68, 1.00
 4.00,-0.94,-1.53, 1.21, 0.29, 2.52, 8.00, 2.41, 0.43,-5.98,-5.00,-2.60, 0.00
18.00, 6.09, 1.07, 8.19, 5.00, 5.10, 6.00,-0.47, 0.48,-4.00, 0.64,-0.34, 2.00
15.00,-5.45, 1.09, 0.74, 0.96, 2.64,11.00, 1.57,-0.49, 1.13,-0.29,-0.61, 0.00
 2.00, 0.61,-0.48,-8.19, 0.45,-0.46,13.00, 0.52, 1.35, 0.94,-1.03,-2.64, 1.00
 7.00,-1.57, 5.88,-2.76, 1.03,-0.38, 3.00, 1.39,-0.45, 1.30, 0.52,-2.52, 2.00
12.00,-2.41, 0.45,-0.94,-0.25, 0.34,10.00, 0.94, 1.54, 0.87,-0.53, 0.81, 1.00
 1.00,-4.83,-1.35,-2.39,-0.64,-5.10, 5.00,-6.09,-5.88, 0.79, 1.04, 2.60,-1.00
16.00, 0.47, 0.93, 2.39, 1.39, 0.38,17.00, 4.83, 0.92, 2.76, 0.25,-0.81,-1.00
14.00,-0.52, 0.49, 4.00,-0.52, 0.46, 9.00, 5.45, 1.53, 5.98, 0.53, 0.61, 0.00
10.00,-0.74, 0.94, 1.54, 0.87,-0.53,16.00, 0.79,-5.45, 1.09, 0.74, 0.96,-1.00
 7.00, 0.98, 2.41, 0.43,-5.98,-5.00, 9.00, 0.85,-1.57, 5.88,-2.76, 1.03, 0.00
 8.00, 1.47, 5.45, 1.53, 5.98, 0.53, 1.00,-0.32,-4.83,-1.35,-2.39,-0.64,-1.00
 3.00,-0.85, 1.39,-0.45, 1.30, 0.52, 5.00,-12.32,-0.47, 0.48,-4.00, 0.64, 0.00
11.00, 1.22, 1.57,-0.49, 1.13,-0.29,18.00,12.32, 6.09, 1.07, 8.19, 5.00,-2.00
 6.00, 0.32,-6.09,-5.88, 0.79, 1.04,14.00, 0.74,-2.41, 0.45,-0.94,-0.25, 0.00
17.00, 0.30, 4.83, 0.92, 2.76, 0.25, 2.00, 0.56, 0.61,-0.48,-8.19, 0.45, 2.00
 4.00, 1.01,-0.94,-1.53, 1.21, 0.29,13.00, 0.57,-0.52, 0.49, 4.00,-0.52, 0.00
12.00,-0.56, 0.52, 1.35, 0.94,-1.03,15.00,-0.30, 0.47, 0.93, 2.39, 1.39, 2.00
 1.00, 0.13,-0.32,-4.83,-1.35,-2.39,11.00,-0.93, 1.22, 1.57,-0.49, 1.13,-4.00
10.00, 1.20, 0.85,-1.57, 5.88,-2.76, 9.00,-0.24,-0.74, 0.94, 1.54, 0.87, 0.00
18.00, 0.93,12.32, 6.09, 1.07, 8.19,14.00, 0.82,-0.56, 0.52, 1.35, 0.94,-1.00
 5.00, 0.64,-12.32,-0.47, 0.48,-4.00,17.00, 5.53, 0.30, 4.83, 0.92, 2.76,-2.00
16.00, 0.24, 0.79,-5.45, 1.09, 0.74, 4.00, 1.34, 1.01,-0.94,-1.53, 1.21, 2.00
 2.00,-5.53, 0.56, 0.61,-0.48,-8.19, 6.00, 1.30, 0.32,-6.09,-5.88, 0.79, 1.00
13.00,-0.82,-0.30, 0.47, 0.93, 2.39, 3.00, 1.38,-0.85, 1.39,-0.45, 1.30,-3.00
15.00, 0.74, 0.74,-2.41, 0.45,-0.94, 7.00,-0.13, 1.47, 5.45, 1.53, 5.98, 4.00
12.00, 0.71, 0.57,-0.52, 0.49, 4.00, 8.00, 0.79, 0.98, 2.41, 0.43,-5.98, 1.00
 6.00,-1.30, 1.30, 0.32,-6.09,-5.88,12.00,-0.94,-0.82,-0.30, 0.47, 0.93, 0.00
17.00, 3.52, 5.53, 0.30, 4.83, 0.92,18.00,-0.14, 0.93,12.32, 6.09, 1.07, 0.00
 3.00,-0.44, 1.34, 1.01,-0.94,-1.53,10.00, 1.26, 1.20, 0.85,-1.57, 5.88, 0.00
 9.00, 0.73,-0.24,-0.74, 0.94, 1.54,13.00, 6.00, 0.71, 0.57,-0.52, 0.49,-2.00
 7.00,-1.38,-0.13, 1.47, 5.45, 1.53, 2.00, 1.30,-5.53, 0.56, 0.61,-0.48, 4.00
 4.00, 0.94, 1.38,-0.85, 1.39,-0.45, 1.00,-7.20, 0.13,-0.32,-4.83,-1.35, 3.00
11.00, 7.20,-0.93, 1.22, 1.57,-0.49,15.00, 1.38, 0.74, 0.74,-2.41, 0.45, 1.00
 8.00,-6.00, 0.79, 0.98, 2.41, 0.43,16.00, 0.44, 0.24, 0.79,-5.45, 1.09, 2.00
14.00, 0.14, 0.82,-0.56, 0.52, 1.35, 5.00,-3.52, 0.64,-12.32,-0.47, 0.48, 0.00
16.00,-4.32, 0.44, 0.24, 0.79,-5.45,15.00, 0.77, 6.00, 0.71, 0.57,-0.52, 2.00
18.00, 1.26,-0.14, 0.93,12.32, 6.09, 6.00, 2.33, 0.94, 1.38,-0.85, 1.39, 5.00
 4.00, 1.12,-3.52, 0.64,-12.32,-0.47, 5.00, 0.66,-1.30, 1.30, 0.32,-6.09, 0.00
 1.00,-2.33,-7.20, 0.13,-0.32,-4.83, 7.00,-0.77, 0.73,-0.24,-0.74, 0.94,-2.00
 2.00,-5.94, 1.30,-5.53, 0.56, 0.61,12.00, 0.38, 7.20,-0.93, 1.22, 1.57, 1.00
10.00, 0.65, 1.26, 1.20, 0.85,-1.57, 8.00, 5.94,-1.38,-0.13, 1.47, 5.45, 0.00
13.00,-0.38, 1.38, 0.74, 0.74,-2.41, 3.00, 1.39,-0.44, 1.34, 1.01,-0.94, 3.00
17.00, 0.73, 3.52, 5.53, 0.30, 4.83,14.00, 0.89, 0.14, 0.82,-0.56, 0.52, 2.00
11.00, 1.29,-0.94,-0.82,-0.30, 0.47, 9.00, 4.32,-6.00, 0.79, 0.98, 2.41, 1.00
14.00,-0.50, 0.77, 6.00, 0.71, 0.57,15.00, 4.50,-0.38, 1.38, 0.74, 0.74, 1.00
 3.00,-4.50, 1.39,-0.44, 1.34, 1.01, 1.00,-0.54,-2.33,-7.20, 0.13,-0.32, 1.00
10.00, 0.54,-0.77, 0.73,-0.24,-0.74,18.00, 8.14, 1.26,-0.14, 0.93,12.32,-1.00
 7.00,-0.25, 4.32,-6.00, 0.79, 0.98, 2.00, 0.26,-5.94, 1.30,-5.53, 0.56,-2.00
16.00, 0.50,-4.32, 0.44, 0.24, 0.79, 9.00, 1.08, 0.65, 1.26, 1.20, 0.85, 1.00
 4.00,-8.14, 2.33, 0.94, 1.38,-0.85,13.00,-8.25, 0.89, 0.14, 0.82,-0.56, 0.00
11.00,-0.26, 0.38, 7.20,-0.93, 1.22, 5.00, 0.78, 1.12,-3.52, 0.64,-12.32, 0.00
 6.00, 1.21, 0.66,-1.30, 1.30, 0.32,17.00, 8.25, 0.73, 3.52, 5.53, 0.30,-2.00
 8.00, 0.92, 5.94,-1.38,-0.13, 1.47,12.00, 0.25, 1.29,-0.94,-0.82,-0.30,-2.00
13.00, 2.88, 0.25, 1.29,-0.94,-0.82,11.00, 1.41,-0.26, 0.38, 7.20,-0.93, 3.00
18.00, 1.38, 8.14, 1.26,-0.14, 0.93, 2.00, 3.68,-4.50, 1.39,-0.44, 1.34, 1.00
 6.00, 0.53, 0.78, 1.12,-3.52, 0.64, 8.00,-2.88, 0.92, 5.94,-1.38,-0.13, 0.00
17.00, 1.78, 8.25, 0.73, 3.52, 5.53, 5.00, 1.04,-8.14, 2.33, 0.94, 1.38, 1.00
 1.00,-3.68,-0.54,-2.33,-7.20, 0.13, 7.00,-0.37,-0.25, 4.32,-6.00, 0.79,-3.00
 9.00,-0.41, 1.08, 0.65, 1.26, 1.20,15.00, 0.14,-0.50, 0.77, 6.00, 0.71, 3.00
12.00, 0.96,-8.25, 0.89, 0.14, 0.82, 4.00,-1.78, 1.21, 0.66,-1.30, 1.30, 2.00
 3.00, 0.37, 0.26,-5.94, 1.30,-5.53,10.00,-1.38, 0.54,-0.77, 0.73,-0.24, 0.00
14.00,-0.14, 4.50,-0.38, 1.38, 0.74,16.00, 0.41, 0.50,-4.32, 0.44, 0.24, 5.00
16.00,-4.33, 0.41, 0.50,-4.32, 0.44, 1.00,-0.71,-3.68,-0.54,-2.33,-7.20, 0.00
 2.00,-6.51, 3.68,-4.50, 1.39,-0.44, 5.00, 1.23, 0.37, 0.26,-5.94, 1.30,-2.00
 9.00, 0.71,-0.37,-0.25, 4.32,-6.00, 6.00, 1.33, 0.53, 0.78, 1.12,-3.52,-1.00
10.00, 1.06,-0.41, 1.08, 0.65, 1.26,15.00, 4.33,-0.14, 4.50,-0.38, 1.38, 1.00
 7.00, 0.69,-2.88, 0.92, 5.94,-1.38,18.00, 6.51, 1.38, 8.14, 1.26,-0.14,-2.00
 4.00,-6.16, 1.04,-8.14, 2.33, 0.94, 3.00,-1.84,-1.78, 1.21, 0.66,-1.30,-1.00
11.00,-1.47, 1.41,-0.26, 0.38, 7.20,13.00, 1.84, 0.96,-8.25, 0.89, 0.14, 0.00
 8.00, 0.79,-1.38, 0.54,-0.77, 0.73,14.00, 1.47, 2.88, 0.25, 1.29,-0.94,-2.00
12.00,-1.06, 0.14,-0.50, 0.77, 6.00,17.00, 6.16, 1.78, 8.25, 0.73, 3.52, 0.00
 1.00, 0.86,-0.71,-3.68,-0.54,-2.33,14.00,-2.89, 4.33,-0.14, 4.50,-0.38, 2.00
 4.00, 0.14,-1.84,-1.78, 1.21, 0.66, 7.00,-1.11, 0.69,-2.88, 0.92, 5.94, 1.00
18.00, 1.11, 6.51, 1.38, 8.14, 1.26,12.00, 0.60,-1.06, 0.14,-0.50, 0.77, 3.00
 6.00, 0.59, 1.33, 0.53, 0.78, 1.12,10.00, 2.89, 1.06,-0.41, 1.08, 0.65, 2.00
 5.00, 0.86, 1.23, 0.37, 0.26,-5.94,16.00, 1.06,-4.33, 0.41, 0.50,-4.32, 1.00
15.00, 0.58, 1.47, 2.88, 0.25, 1.29, 2.00,-0.86,-6.51, 3.68,-4.50, 1.39, 3.00
 3.00,-0.14,-6.16, 1.04,-8.14, 2.33,11.00, 0.71,-1.47, 1.41,-0.26, 0.38, 1.00
17.00, 1.35, 6.16, 1.78, 8.25, 0.73, 9.00,-0.59, 0.71,-0.37,-0.25, 4.32, 3.00
13.00, 1.27, 1.84, 0.96,-8.25, 0.89, 8.00,-0.58, 0.79,-1.38, 0.54,-0.77,-1.00
 7.00,-5.29,-0.59, 0.71,-0.37,-0.25, 3.00, 6.75,-0.14,-6.16, 1.04,-8.14, 1.00
 9.00, 0.35,-0.58, 0.79,-1.38, 0.54, 8.00, 1.04, 0.59, 1.33, 0.53, 0.78, 3.00
15.00,-2.77, 1.06,-4.33, 0.41, 0.50,18.00, 3.29, 1.11, 6.51, 1.38, 8.14,-2.00
10.00,-1.04, 2.89, 1.06,-0.41, 1.08, 1.00, 3.39, 0.86,-0.71,-3.68,-0.54, 0.00
12.00,-3.29, 0.60,-1.06, 0.14,-0.50,16.00, 0.87, 0.58, 1.47, 2.88, 0.25,-1.00
 4.00,-0.26,-1.11, 0.69,-2.88, 0.92,17.00, 5.29, 1.35, 6.16, 1.78, 8.25,-3.00
11.00,-6.75, 0.71,-1.47, 1.41,-0.26, 5.00, 0.26, 0.14,-1.84,-1.78, 1.21,-2.00
 2.00,-0.87,-0.86,-6.51, 3.68,-4.50,13.00,-0.35, 1.27, 1.84, 0.96,-8.25, 1.00
14.00,-3.39,-2.89, 4.33,-0.14, 4.50, 6.00, 2.77, 0.86, 1.23, 0.37, 0.26, 2.00
 7.00, 0.37, 0.26, 0.14,-1.84,-1.78,11.00, 0.99, 0.35,-0.58, 0.79,-1.38, 0.00
18.00, 1.21, 3.29, 1.11, 6.51, 1.38,14.00, 5.06,-3.39,-2.89, 4.33,-0.14, 0.00
 6.00,-0.99, 1.04, 0.59, 1.33, 0.53, 2.00, 1.11,-0.87,-0.86,-6.51, 3.68,-1.00
17.00, 3.70, 5.29, 1.35, 6.16, 1.78, 9.00,-0.37,-6.75, 0.71,-1.47, 1.41, 4.00
 1.00, 1.42, 3.39, 0.86,-0.71,-3.68,12.00,-0.32,-3.29, 0.60,-1.06, 0.14,-2.00
 5.00,-5.06, 2.77, 0.86, 1.23, 0.37,10.00, 0.64,-1.04, 2.89, 1.06,-0.41, 1.00
16.00, 0.32, 0.87, 0.58, 1.47, 2.88,15.00,-1.21,-2.77, 1.06,-4.33, 0.41, 1.00
13.00,-1.11,-0.35, 1.27, 1.84, 0.96, 8.00, 0.26,-5.29,-0.59, 0.71,-0.37, 0.00
 3.00,-0.26, 6.75,-0.14,-6.16, 1.04, 4.00,-3.70,-0.26,-1.11, 0.69,-2.88, 4.00
 3.00, 0.78, 1.11,-0.87,-0.86,-6.51,17.00, 4.83, 3.70, 5.29, 1.35, 6.16, 1.00
11.00, 0.84, 0.99, 0.35,-0.58, 0.79, 4.00, 1.52,-0.26, 6.75,-0.14,-6.16, 0.00
 8.00, 0.87, 0.26,-5.29,-0.59, 0.71, 9.00,-4.83,-0.37,-6.75, 0.71,-1.47,-1.00
 1.00,-0.45, 1.42, 3.39, 0.86,-0.71, 6.00, 0.25,-5.06, 2.77, 0.86, 1.23, 1.00
14.00,-3.96,-1.21,-2.77, 1.06,-4.33, 5.00,-0.78,-0.99, 1.04, 0.59, 1.33,-1.00
10.00,-0.25, 0.64,-1.04, 2.89, 1.06,18.00, 1.08, 1.21, 3.29, 1.11, 6.51,-1.00
15.00, 0.91, 5.06,-3.39,-2.89, 4.33,16.00, 3.96, 0.32, 0.87, 0.58, 1.47, 1.00
13.00, 0.45,-0.32,-3.29, 0.60,-1.06, 7.00, 1.17, 0.37, 0.26, 0.14,-1.84, 0.00
 2.00,-1.52,-3.70,-0.26,-1.11, 0.69,12.00, 1.12,-1.11,-0.35, 1.27, 1.84,-2.00
 8.00, 0.40, 1.17, 0.37, 0.26, 0.14, 7.00,-2.72, 0.87, 0.26,-5.29,-0.59,-2.00
18.00, 0.53, 1.08, 1.21, 3.29, 1.11, 1.00, 0.70,-0.45, 1.42, 3.39, 0.86, 2.00
